uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Finest Taxonomic Rank
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,StDev,0.17827213,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,StDev,0.120376394,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,StDev,0.129871732,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,StDev,0.120198249,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,StDev,0.152409224,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,StDev,0.181278528,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,StDev,0.165299152,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,StDev,0.126964562,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,StDev,0.130025638,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,StDev,0.106770783,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,StDev,0.162451458,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,StDev,0.129963365,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,StDev,0.164693077,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,StDev,0.119562695,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,StDev,0.125128505,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,StDev,0.148628652,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,StDev,0.107349008,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,StDev,0.092394084,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,StDev,0.060553007,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,StDev,0.173661548,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,StDev,0,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,StDev,0.188982237,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,StDev,0.286630673,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,StDev,0.316378315,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,StDev,0.240208243,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,StDev,0.371797436,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,StDev,0.326635081,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,StDev,0.329266862,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,StDev,0.325110238,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,StDev,0.037749172,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,StDev,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,StDev,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,StDev,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,StDev,0.360297496,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,StDev,0.336685525,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,StDev,0.294303051,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,StDev,0.243290929,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,StDev,0.273160514,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,StDev,0.077308904,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,StDev,0.125797456,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,StDev,0.072078,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,StDev,0.11596387,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,StDev,0.090132178,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,StDev,0.076563077,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,StDev,0.057113087,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,StDev,0.08635475,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,StDev,0.063358391,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,StDev,0.127436259,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,StDev,0.200074986,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,StDev,0.090323493,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Arthropoda,,,,Shannon Diversity,StDev,0.229263832,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Arthropoda,,,,Shannon Diversity,StDev,0.089336176,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Arthropoda,,,,Shannon Diversity,StDev,0.104835472,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Arthropoda,,,,Shannon Diversity,StDev,0.07524563,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Arthropoda,,,,Shannon Diversity,StDev,0.119960311,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Arthropoda,,,,Shannon Diversity,StDev,0.122124059,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Arthropoda,,,,Shannon Diversity,StDev,0.065936477,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Arthropoda,,,,Shannon Diversity,StDev,0.045607017,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Arthropoda,,,,Shannon Diversity,StDev,0.06145459,Formicidae
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Arthropoda,,,,Shannon Diversity,StDev,0.017078251,Formicidae
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,mean,0.771428571,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,mean,0.842857143,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,mean,0.92,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,mean,0.991428571,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,mean,0.955714286,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,mean,0.944285714,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,mean,1.027142857,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,mean,1.04,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,mean,1.056666667,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,mean,1.04,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Plantae,,,,Shannon Diversity,mean,0.562857143,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Plantae,,,,Shannon Diversity,mean,0.612857143,
2779,,2008-2010,winter,gradient,,distance from water source (m),290,Plantae,,,,Shannon Diversity,mean,0.647142857,
2779,,2008-2010,winter,gradient,,distance from water source (m),400,Plantae,,,,Shannon Diversity,mean,0.745714286,
2779,,2008-2010,winter,gradient,,distance from water source (m),600,Plantae,,,,Shannon Diversity,mean,0.822857143,
2779,,2008-2010,winter,gradient,,distance from water source (m),850,Plantae,,,,Shannon Diversity,mean,0.792857143,
2779,,2008-2010,winter,gradient,,distance from water source (m),1200,Plantae,,,,Shannon Diversity,mean,0.887142857,
2779,,2008-2010,winter,gradient,,distance from water source (m),1800,Plantae,,,,Shannon Diversity,mean,0.888333333,
2779,,2008-2010,winter,gradient,,distance from water source (m),2400,Plantae,,,,Shannon Diversity,mean,0.926666667,
2779,,2008-2010,winter,gradient,,distance from water source (m),3200,Plantae,,,,Shannon Diversity,mean,0.8775,
2779,,2008-2010,summer,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,mean,0,
2779,,2008-2010,summer,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,mean,0.071428571,
2779,,2008-2010,summer,gradient,,distance from water source (m),290,Mammalia,,,,Shannon Diversity,mean,0.162857143,
2779,,2008-2010,summer,gradient,,distance from water source (m),400,Mammalia,,,,Shannon Diversity,mean,0.334285714,
2779,,2008-2010,summer,gradient,,distance from water source (m),600,Mammalia,,,,Shannon Diversity,mean,0.14,
2779,,2008-2010,summer,gradient,,distance from water source (m),850,Mammalia,,,,Shannon Diversity,mean,0.5,
2779,,2008-2010,summer,gradient,,distance from water source (m),1200,Mammalia,,,,Shannon Diversity,mean,0.477142857,
2779,,2008-2010,summer,gradient,,distance from water source (m),1800,Mammalia,,,,Shannon Diversity,mean,0.421666667,
2779,,2008-2010,summer,gradient,,distance from water source (m),2400,Mammalia,,,,Shannon Diversity,mean,0.411666667,
2779,,2008-2010,summer,gradient,,distance from water source (m),3200,Mammalia,,,,Shannon Diversity,mean,0.6475,
2779,,2008-2010,winter,gradient,,distance from water source (m),100,Mammalia,,,,Shannon Diversity,mean,0,
2779,,2008-2010,winter,gradient,,distance from water source (m),180,Mammalia,,,,Shannon Diversity,mean,0,
