,treatment,enclosure,exclosure,but.sps,bumb.sps,num.species
1,grazed,1,1,0,0,8
2,grazed,1,1,4,4,8
3,grazed,1,1,0,3,8
4,grazed,1,1,0,0,8
5,grazed,1,1,0,0,8
6,ungrazed,1,1,0,1,7
7,ungrazed,1,1,2,1,7
8,ungrazed,1,1,0,2,7
9,ungrazed,1,1,0,0,7
10,ungrazed,1,1,0,1,7
11,grazed,1,2,0,0,8
12,grazed,1,2,1,0,8
13,grazed,1,2,1,2,8
14,grazed,1,2,0,2,8
15,grazed,1,2,0,1,8
16,grazed,1,2,2,3,8
17,ungrazed,1,2,0,0,6
18,ungrazed,1,2,0,0,6
19,ungrazed,1,2,0,0,6
20,ungrazed,1,2,0,1,6
21,ungrazed,1,2,1,0,6
22,ungrazed,1,2,1,1,6
23,grazed,1,3,0,1,9
24,grazed,1,3,4,5,9
25,grazed,1,3,0,1,9
26,grazed,1,3,0,5,9
27,grazed,1,3,0,1,9
28,grazed,1,3,2,3,9
29,grazed,1,3,0,0,9
30,ungrazed,1,3,0,0,8
31,ungrazed,1,3,0,2,8
32,ungrazed,1,3,0,0,8
33,ungrazed,1,3,0,0,8
34,ungrazed,1,3,1,0,8
35,ungrazed,1,3,0,0,8
36,ungrazed,1,3,0,0,8
37,grazed,2,4,0,3,10
38,grazed,2,4,0,3,10
39,grazed,2,4,5,4,10
40,grazed,2,4,0,1,10
41,grazed,2,4,3,4,10
42,grazed,2,4,1,0,10
43,ungrazed,2,4,0,1,6
44,ungrazed,2,4,0,2,6
45,ungrazed,2,4,0,0,6
46,ungrazed,2,4,0,0,6
47,ungrazed,2,4,0,0,6
48,ungrazed,2,4,0,0,6
49,grazed,2,5,0,2,9
50,grazed,2,5,1,4,9
51,grazed,2,5,0,3,9
52,grazed,2,5,3,3,9
53,grazed,2,5,0,2,9
54,grazed,2,5,0,3,9
55,ungrazed,2,5,1,1,5
56,ungrazed,2,5,1,0,5
57,ungrazed,2,5,0,1,5
58,ungrazed,2,5,0,2,5
59,ungrazed,2,5,0,0,5
60,ungrazed,2,5,0,1,5
61,grazed,2,6,0,3,9
62,grazed,2,6,0,0,9
63,grazed,2,6,1,3,9
64,grazed,2,6,0,1,9
65,grazed,2,6,1,1,9
66,grazed,2,6,1,1,9
67,ungrazed,2,6,0,0,7
68,ungrazed,2,6,0,1,7
69,ungrazed,2,6,0,0,7
70,ungrazed,2,6,0,1,7
71,ungrazed,2,6,0,0,7
72,ungrazed,2,6,0,0,7
73,grazed,3,7,1,0,8
74,grazed,3,7,0,0,8
75,grazed,3,7,2,2,8
76,grazed,3,7,0,0,8
77,grazed,3,7,0,0,8
78,grazed,3,7,0,0,8
79,ungrazed,3,7,0,1,6
80,ungrazed,3,7,0,1,6
81,ungrazed,3,7,0,0,6
82,ungrazed,3,7,0,1,6
83,ungrazed,3,7,2,0,6
84,ungrazed,3,7,0,1,6
85,grazed,3,8,0,1,6
86,grazed,3,8,1,1,6
87,grazed,3,8,0,1,6
88,grazed,3,8,1,0,6
89,grazed,3,8,1,0,6
90,grazed,3,8,2,1,6
91,ungrazed,3,8,1,0,6
92,ungrazed,3,8,0,0,6
93,ungrazed,3,8,1,0,6
94,ungrazed,3,8,0,0,6
95,ungrazed,3,8,0,0,6
96,ungrazed,3,8,0,0,6
97,grazed,3,9,0,4,6
98,grazed,3,9,0,2,6
99,grazed,3,9,0,1,6
100,grazed,3,9,1,1,6
101,grazed,3,9,0,1,6
102,grazed,3,9,0,0,6
103,ungrazed,3,9,0,0,5
104,ungrazed,3,9,0,0,5
105,ungrazed,3,9,0,0,5
106,ungrazed,3,9,0,0,5
107,ungrazed,3,9,0,0,5
108,ungrazed,3,9,0,0,5
