Taxa,Species,Trophic,Site,Treatment,Stat,Value,
Invertebrate,Orthoptera,Herbivore,10.Aug,ungrazed,mean,9.61,
Invertebrate,Orthoptera,Herbivore,21.Aug,ungrazed,mean,11.49,
Invertebrate,Orthoptera,Herbivore,30.Aug,ungrazed,mean,13.83,
Invertebrate,Orthoptera,Herbivore,8.Sept,ungrazed,mean,5.87,
Invertebrate,Orthoptera,Herbivore,10.Aug,grazed,mean,3.41,
Invertebrate,Orthoptera,Herbivore,21.Aug,grazed,mean,6.16,
Invertebrate,Orthoptera,Herbivore,30.Aug,grazed,mean,7.38,
Invertebrate,Orthoptera,Herbivore,8.Sept,grazed,mean,2.89,
Invertebrate,Orthoptera,Herbivore,10.Aug,ungrazed,se,0.72,
Invertebrate,Orthoptera,Herbivore,21.Aug,ungrazed,se,1.36,
Invertebrate,Orthoptera,Herbivore,30.Aug,ungrazed,se,1.71,
Invertebrate,Orthoptera,Herbivore,8.Sept,ungrazed,se,1.45,
Invertebrate,Orthoptera,Herbivore,10.Aug,grazed,se,0.32,
Invertebrate,Orthoptera,Herbivore,21.Aug,grazed,se,0.75,
Invertebrate,Orthoptera,Herbivore,30.Aug,grazed,se,1.27,
Invertebrate,Orthoptera,Herbivore,8.Sept,grazed,se,0.93,
Plants,,Producer,,ungrazed,mean,237.2,biomass
Plants,,Producer,,grazed,mean,204,biomass
Plants,,Producer,,ungrazed,se,22.81,biomass
Plants,,Producer,,grazed,se,28.68,biomass
