uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value
55, MpalaResearchCentre,1996,12,grazed,0,cattle per ha,4,plants,,,,percent.cover,mean,77
55, MpalaResearchCentre,1996,12,ungrazed,3,cattle per ha,4,plants,,,,percent.cover,mean,77.2
55, MpalaResearchCentre,1996,12,grazed,0,cattle per ha,4,plants,,,,percent.cover,se,2.1
55, MpalaResearchCentre,1996,12,ungrazed,3,cattle per ha,4,plants,,,,percent.cover,se,2.5
55, MpalaResearchCentre,1995,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.4
55, MpalaResearchCentre,1995,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.379
55, MpalaResearchCentre,1995,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,se,0.08
55, MpalaResearchCentre,1995,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,se,0.046
55, MpalaResearchCentre,1996,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.073
55, MpalaResearchCentre,1996,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.298
55, MpalaResearchCentre,1996,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,se,0.068
55, MpalaResearchCentre,1996,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,se,0.0075
55, MpalaResearchCentre,1997,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.27
55, MpalaResearchCentre,1997,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,mean,0.3466
55, MpalaResearchCentre,1997,12,grazed,0,cattle per ha,4,rodents,,,,shannon.diversity,se,0.057
55, MpalaResearchCentre,1997,12,ungrazed,3,cattle per ha,4,rodents,,,,shannon.diversity,se,0.0334
