"UniqueSite","grazed_mean","ungrazed_mean","grazed_sd","ungrazed_sd","grazed_n","ungrazed_n","yi","vi","Study","higher.taxa","taxa","FG","measure"
"857-Plant-Plants-PlantProducer-richness",26.3,16.8,1,1,10,10,-9.09764105672534,2.26917681992536,"857","Plant","Plants","PlantProducer","richness"
"1697-Plant-Plants-PlantProducer-richness",1.97368421052632,2.1,1.39505882352941,1.666,6,6,0.0758583435634709,0.333573103678675,"1697","Plant","Plants","PlantProducer","richness"
"1901-Plant-Plants-PlantProducer-rare.richness",17,16.3125,1.519,4.6795,5,4,-0.186649778674113,0.451935452215505,"1901","Plant","Plants","PlantProducer","rare.richness"
"1901-Plant-Plants-PlantProducer-richness",20.5923333333333,19.7473333333333,1.34194666666667,5.70948,5,4,-0.193788447662805,0.452086331247087,"1901","Plant","Plants","PlantProducer","richness"
"1914-Plant-Plants-PlantProducer-richness",18.4,13.8595,2.744,3.66226,12,10,-1.3691466838253,0.225937029738556,"1914","Plant","Plants","PlantProducer","richness"
"1926-Plant-Plants-PlantProducer-richness",34.63,31.38,4.1748,4.1748,24,24,-0.765706755267069,0.0894406961985586,"1926","Plant","Plants","PlantProducer","richness"
"5-Plant-Plants-PlantProducer-richness",12.25,12.5,2.842,4.214,18,15,0.0691249659346131,0.122294620114881,"5","Plant","Plants","PlantProducer","richness"
"533-Plant-Plants-PlantProducer-richness",14.8,7,5.096,2.352,5,5,-1.77415536668322,0.557381363256544,"533","Plant","Plants","PlantProducer","richness"
"929-Plant-Plants-PlantProducer-richness",18,19.1,1.862,2.254,14,14,0.516568768520993,0.147622201653773,"929","Plant","Plants","PlantProducer","richness"
"977-Plant-Plants-PlantProducer-richness",16.92,16.33,4.2924,4.802,36,36,-0.128153142628967,0.0556696057497617,"977","Plant","Plants","PlantProducer","richness"
