"","UniqueSite","grazed_mean","ungrazed_mean","grazed_sd","ungrazed_sd","grazed_n","ungrazed_n","yi","vi","Study","higher.taxa","taxa","FG","measure","yr.grazed","previously.grazed"
"1","1302-Vertebrate-Mammalia-VertebrateHerbivorous-richness",8.66666666666667,6.66666666666667,0.577350269189626,0.577350269189626,3,3,-2.76395319577068,1.30328643903425,"1302","Vertebrate","Mammalia","VertebrateHerbivorous","richness",NA,"0"
"2","1099-Vertebrate-Aves-VertebrateOmnivorous-richness",6.41904761916667,6.819047619,2.29782505861521,1.72496672677759,33,45,0.199373527509666,0.0527800589577631,"1099","Vertebrate","Aves","VertebrateOmnivorous","richness",NA,"0"
"3","1139-Invertebrate-Arthropoda-InvertebrateDetrivorous-richness",1.618577075,1.541501976,0.431219681363271,0.449968362336733,10,10,-0.167487501805185,0.200701301581524,"1139","Invertebrate","Arthropoda","InvertebrateDetrivorous","richness",NA,"0"
"4","1242-Vertebrate-Aves-VertebrateOmnivorous-richness",3.1,0.8,4.6475800154489,2.26274169979695,15,8,-0.552336730978162,0.198298750675094,"1242","Vertebrate","Aves","VertebrateOmnivorous","richness",50,"1"
"5","1321-Invertebrate-Arthropoda-InvertebrateDetrivorous-richness",0.2,0.55,1.07517440445725,0.600832755431992,10,10,0.384853503450221,0.203702805477948,"1321","Invertebrate","Arthropoda","InvertebrateDetrivorous","richness",18,"1"
"6","1380-Vertebrate-Amphibians-VertebratePredator-shannon",1.07,0.66,0.701598668777001,1.25,5.33333333333333,5,-0.37065779909331,0.394147767936872,"1380","Vertebrate","Amphibians","VertebratePredator","shannon",14,"1"
"7","1399-Invertebrate-Arthropoda-InvertebrateDetrivorous-richness",6.277372263,6.77372262766667,1.60557396686295,2.39469461717875,21,7,0.265006429759947,0.191730269187157,"1399","Invertebrate","Arthropoda","InvertebrateDetrivorous","richness",2,"1"
"8","1501-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",4.89,5.12,3.39882332579968,1.75362481734264,5,2,0.0615927484464696,0.700270976190085,"1501","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",6,"1"
"9","1914-Invertebrate-Arthropoda-InvertebratePollinator-richness",10.6223333333333,12.477,4.77596834098285,4.84266390184769,8.66666666666667,10,0.367764423060407,0.219007401211462,"1914","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"10","1926-Invertebrate-Arthropoda-InvertebratePollinator-richness",10.125,10.8475,4.98471162656377,4.98471162656377,24,24,0.142564897136635,0.0835450494780789,"1926","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"11","1991-Invertebrate-Arthropoda-InvertebratePollinator-richness",3.304,5,1.88955762018521,1.94723456718594,23,12.5,0.868106650010755,0.134092474331437,"1991","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"12","2728-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",24,25.7,9.06311204829776,6.36867333123626,6,6,0.200273563162833,0.335004562504247,"2728","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",NA,"0"
"13","348-Invertebrate-Mollusca-InvertebrateHerbivorous-richness",2.5,5.1,1.69705627484771,1.27279220613579,18,18,1.69476697911094,0.151003265465067,"348","Invertebrate","Mollusca","InvertebrateHerbivorous","richness",2,"1"
"14","36-Invertebrate-Arthropoda-InvertebratePollinator-rare.richness",6.07,8.98,1.61,1,14,14,2.1080228738864,0.222210007800505,"36","Invertebrate","Arthropoda","InvertebratePollinator","rare.richness",20,"1"
"15","36-Invertebrate-Arthropoda-InvertebratePollinator-richness",32.2,42.9,10.7,6.77,14,14,1.16022584886528,0.166895071792414,"36","Invertebrate","Arthropoda","InvertebratePollinator","richness",20,"1"
"16","5-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",19.9,29.6,9.12167747730646,8.76740247403686,18,15,1.05574611168619,0.139110098772836,"5","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",5,"1"
"17","5-Invertebrate-Arthropoda-InvertebrateParasitic-richness",18.35,26.25,8.69741340859454,6.51180400331941,18,15,0.989771134380158,0.137065357047255,"5","Invertebrate","Arthropoda","InvertebrateParasitic","richness",5,"1"
"18","5-Invertebrate-Arthropoda-InvertebratePredator-richness",22.25,33.4,9.33380951166243,7.68531261501854,18,15,1.26068075498456,0.146302767161441,"5","Invertebrate","Arthropoda","InvertebratePredator","richness",5,"1"
"19","55-Vertebrate-Mammalia-VertebrateHerbivorous-shannon",0.247666666666667,0.3412,0.236713610367747,0.100343476785157,12,12,0.496710923915178,0.171806702957014,"55","Vertebrate","Mammalia","VertebrateHerbivorous","shannon",3,"1"
"20","611-Vertebrate-Mammalia-VertebrateHerbivorous-richness",1,1.5,0.5,0.58,4,4,0.80208646891742,0.540208918976276,"611","Vertebrate","Mammalia","VertebrateHerbivorous","richness",30,"1"
"21","769-Vertebrate-Mammalia-VertebrateHerbivorous-richness",0.83,0.83,0.623538290724796,0.969948452238571,12,12,0,0.166666666666667,"769","Vertebrate","Mammalia","VertebrateHerbivorous","richness",2,"1"
"22","8-Invertebrate-Arthropoda-InvertebratePollinator-richness",4.35,9.05,2.02082903779612,1.59216833280907,6,6,2.38400330875004,0.570144657338798,"8","Invertebrate","Arthropoda","InvertebratePollinator","richness",5,"1"
"23","830-Invertebrate-Arthropoda-InvertebratePredator-richness",9.4,10.1,3.83405790253616,4.9295030175465,30,30,0.156458608238308,0.0668706608007656,"830","Invertebrate","Arthropoda","InvertebratePredator","richness",NA,"0"
